,영화제목,영화평점,영화장르,영화감독,영화배우
101,어떤 하루,7.77,드라마,"정가영,전선호,최진혁","최수인,김영서"
102,재혼의 기술,7.29,"멜로/로맨스,코미디",조성규,"임원희,김강현,박해빛나"
103,지구 최후의 밤,7.57,"드라마,미스터리",비간,"탕웨이,황각"
104,지금 이순간,0.00,드라마,이수성,"이원준,송민경"
105,차타레 부인의 사랑,6.76,"드라마,멜로/로맨스",쥬스트 쟈킨,실비아 크리스텔
106,천지창조,7.64,,존 휴스턴,"마이클 팍스,리처드 해리스"
107,캐롤,8.57,"드라마,멜로/로맨스",토드 헤인즈,"케이트 블란쳇,루니 마라,카일 챈들러"
108,쿵푸 허슬,8.62,"코미디,액션",주성치,주성치
109,포레스트 검프,9.39,"드라마,코미디",로버트 저메키스,톰 행크스
110,멋진 하루,8.17,"드라마,멜로/로맨스",이윤기,"전도연,하정우"
111,미스 사이공: 25주년 특별 공연,9.20,공연실황,브렛 설리반,"알리스태어 브래머,에바 노블자다,홍광호,존 존 브라이언스"
112,밀양,7.87,드라마,이창동,"전도연,송강호"
